comp_id,title
24389,NGK Spark Plugs
24650,Alpla
24660,DB Realty
24714,Narayana Hrudayalaya Hospitals
25300,eClinicalWorks
25392,ACNielsen
25431,CSSI
25525,Allstate
26219,Tokai Rubber Auto Parts India
26678,Ecom Express
26980,PNC Infratech
27162,Brainsoft Software
27373,Windcare India Private Limited
27727,HEXAGON GLOBAL IT SERVICES
28071,Q2AMedia
28793,Geodata
28949,Xceedance
28952,Bhima Jewellers
29019,Abyeti Technologies
29784,Spices Board India
29966,Ambigai Consultancy Services
30537,Omniglobe International
30618,Keonics
30669,General Mechanical Works
30898,Dilip Buildcon
31974,IL&FS Transportation Networks
32039,Dodla Dairy
32206,Kratin Mobile Software Solution Pvt Ltd
32344,Advanced Hair Studio
32507,Durian Industries
32523,Accusol Technologies
33408,Parle Products
34172,SALESFORCE
34360,Dalmia Group
34483,Sanmarg Projects
34583,Essel Utilities
34629,Rich Graviss Products
34736,Voylla
34766,Win Medicare
34995,GI Infotech
35258,Pha India
36308,Tikona Infinet
36335,Agent BOB
36340,Prakash Steelage
37221,Amit Metaliks
37233,Saggezza
37236,Sony Japan
37253,MUSIGMA BUSINESS SOLUTIONS
37255,Global Scholar
37261,TechAspect
37268,Lexity
37273,Aveva
37274,Bombardier Transportaton
37286,Roland Berger
37289,CameronTec
37291,Mahindra Comviva
37304,Kabbage
152560,Wrig Nanosystems
152562,Quantiphi
152564,Market Data Forecast
152572,Shree Cement
152573,Scriplogix
152580,Myabhyaas.com
152583,FinMechanics
152584,Noodle analytics
152586,Quantitative Brokers
152587,Hotstar
152591,TCG DIGITAL
152593,Enfrien Solutions
152596,Gonoise.com
152605,Blackrock
152612,L&T Hydrocarbon Engineering
152613,Techahead
152620,Treebo Hotels
152624,HSBC Software Development
152631,Orbees Business Solutions
152634,Veritas Technologies
152635,Copart
152645,Honda Motorcycle & Scooter India Pvt
152646,Apparel Group
152668,Bandhan Bank
152677,Lava International
152693,Drive India Enterprise Solutions Limited (DIESL)
152699,Grabonrent Internet
152808,Tesco Bengaluru
152822,Zensar Technologies
152843,BYJU'S
152935,Mahindra
152984,Datamatics Global Services
152993,Emerson
153011,McKinsey & Company
153027,ICICI Securities
153038,Edelweiss Financial Services
153099,JLL
153140,Flextronics
153154,Maveric Systems
153163,Aircel
153165,Cummins
153171,Intellect Design Arena
153238,Intelenet
153266,Diebold Nixdorf
153271,Teleperformance
153292,HCCBPL
153322,Aditya Birla Group
153350,PolicyBazaar
153383,Eaton Technologies
153401,GMR Group
153423,Vedanta Aluminium Limited
153427,Bitwise
153429,Rivigo
153449,Mckinsey Knowledge Center
153476,EPAM
153546,LiquidHub
153566,Muthoot Fincorp
153588,NXP Semiconductors
153795,Nalashaa Solutions
153899,Croma
153950,Britannia Industries Limited
153957,IDBI Federal Life Insurance
154053,KARYA Technologies
154183,Hitachi
154244,TresVista
154252,Panasonic
154468,Royal Enfield
154562,NICE
154641,Voonik
154686,LendingKart
154744,ATCS
154863,Saint Gobain Glass
154947,KONE
154960,mroads
154964,Sears IT & Management Services India
154992,SGS
155143,Market Simplified
155359,KSK Energy
155419,Ramky Infrastructure
155496,IIMA
155567,mSupply
155636,Astegic
155643,Naaptol
155828,Hexagon Capability Center
155832,Tredence
156031,DXC Technology
156403,Ferrero
156442,Everest Group
156461,KPIT
156509,Zenoti
156549,Techracers
156679,Invenio Business Solutions
156845,Codilar Technologies
157078,Nestaway Technologies
157113,Optum
157129,SquadRun
157179,Innoppl
157354,Fluper
158001,HDFC Sales
158534,CARS24.com
158928,FabHotels
158962,Serco BPO
159156,Securifi Embedded Systems
159187,NextGenVision Technology
159244,UNDP
159410,SayOne Technologies
159463,Lumax Industries
159484,Indian Political Action Committee
159639,Aditya Birla Finance
159647,Codeistic
160345,Knowledge Podium Systems
160529,Heckyl Technologies
160677,Course Hero
161719,Innoraft
161810,Bestseller
161869,R1 RCM
162079,Tvisha Technologies
162397,Unistal Systems
162786,Zenica Cars
163058,TIAA
163664,Gold24.in
164131,TransOrg Analytics
164336,Sandesh
164716,Magical Imagination Portugal
165035,D2K Technologies India
165269,Markem Imaje
165602,Teletext
166476,Precision Camshafts
166927,SIP SOFT LOGIC
167604,Laugh Out Loud Ventures
168234,360 Realtors
168354,Techouts
168932,TechnipFMC
169069,NSH Corp
169744,LSG
170035,Medlife
